+-----------+-------------------------------------------------------------------------+--------+----+------------+-----------+----------------------+
|   Mã môn  | Tên môn học                                                             |  Nhóm  | Tổ | Số tín chỉ |    Lớp    |        ID Môn        |
| 61GER4TP2 | Biên dịch 2                                                             |   01   |    |     3      |     *     | -7327337564205935975 |
| 61ITA3FL1 | Ngoại ngữ 2 - tiếng Italia A1                                           |   01   |    |     3      |     *     | -5293812419471428955 |
| 61ITA3FL2 | Ngoại ngữ 2 - tiếng Italia A2                                           |   01   |    |     4      |     *     | -6757912996671384987 |
| 61ITA4INT | Thực tập                                                                |   01   |    |     3      |     *     | -5001150115552073804 |
| 61KOR21B2 | Thực hành tiếng 1B2                                                     |   01   |    |     4      |     *     | -6930054260519616276 |
| 61KOR22B2 | Thực hành tiếng 2B2                                                     |   01   |    |     4      |     *     | -7734747646896963442 |
| 61KOR23B1 | Thực hành tiếng 3B1                                                     |   01   |    |     4      |     *     | -5947002133179896387 |
| 61KOR33C1 | Thực hành tiếng 3C1                                                     |   01   |    |     2      |     *     | -8877336628993144341 |
| 61KOR3CCS | Đất nước học                                                            |   01   |    |     2      |     *     | -5575448343028771511 |
| 61KOR3CSO | Đất nước học online                                                     |   01   |    |     2      |     *     | -4789273687843945109 |
| 61KOR3FL1 | Ngoại ngữ 2 - tiếng Hàn Quốc A1                                         |   01   |    |     3      |     *     | -6803672528065370346 |
| 61KOR3FL2 | Ngoại ngữ 2 - tiếng Hàn Quốc A2                                         |   01   |    |     4      |     *     | -5224499365483797744 |
| 61KOR3ITI | Nhập môn Biên-Phiên dịch                                                |   01   |    |     2      |     *     | -6509813907187096998 |
| 61KOR3KAL | Lý thuyết tiếng                                                         |   01   |    |     2      |     *     | -8280502957868981433 |
| 61KOR4COL | Ngôn ngữ học Đối chiếu                                                  |   01   |    |     2      |     *     | -8430754664400509097 |
| 61KOR4IP2 | Phiên dịch 2                                                            |   01   |    |     3      |     *     | -6142582232716009604 |
| 61KOR4KOE | Tiếng Hàn kinh tế                                                       |   01   |    |     2      |     *     | -9040235569027543948 |
| 61KOR4PIT | Biên phiên dịch chuyên đề Báo chí                                       |   01   |    |     2      |     *     | -7825152946457854623 |
| 61KOR4STI | Biên phiên dịch chuyên ngành                                            |   01   |    |     2      |     *     | -7328538298658799356 |
| 61KOR4TP2 | Biên dịch 2                                                             |   01   |    |     3      |     *     | -8956569334721907958 |
| 61POR21B2 | Thực hành tiếng 1B2                                                     |   01   |    |     4      |     *     | -7476184500620169019 |
| 61POR22B1 | Thực hành tiếng 2B1                                                     |   01   |    |     4      |     *     | -8332379104119252772 |
| 61POR23B1 | Thực hành tiếng 3B1                                                     |   01   |    |     4      |     *     | -5805052686438438089 |
| 61POR33C1 | Thực hành tiếng 3C1                                                     |   01   |    |     3      |     *     | -6024564899344427738 |
| 61POR3FL1 | Ngoại ngữ 2 - tiếng Bồ Đào Nha A1                                       |   01   |    |     3      |     *     | -5421671211485615568 |
| 61POR3FL2 | Ngoại ngữ 2 - tiếng Bồ Đào Nha A2                                       |   01   |    |     4      |     *     | -8892511411320912236 |
| 61POR3ITI | Nhập môn Biên-Phiên dịch                                                |   01   |    |     2      |     *     | -5789456281419741391 |
| 61POR3PHC | Lịch sử và Văn hóa Bồ Đào Nha                                           |   01   |    |     3      |     *     | -8701504650279831874 |
| 61POR3PHP | Ngữ âm và Âm vị học                                                     |   01   |    |     3      |     *     | -6709634609685796719 |
| 61POR4IP2 | Thực hành dịch nói 2                                                    |   01   |    |     3      |     *     | -8258466149575393794 |
| 61POR4ITO | Kiến tập                                                                |   01   |    |     3      |     *     | -9165862556849695807 |
| 61POR4ITS | Lược dịch - Dịch tổng hợp văn bản                                       |   01   |    |     2      |     *     | -7071661328610078907 |
| 61POR4MOS | Từ pháp và Cú pháp học                                                  |   01   |    |     3      |     *     | -6114471797381818620 |
| 61POR4TIP | Chuyên đề dịch                                                          |   01   |    |     2      |     *     | -7001642439590416409 |
| 61POR4TP2 | Thực hành dịch viết 2                                                   |   01   |    |     3      |     *     | -7747381128167591496 |
| 61SPA3FL1 | Ngoại ngữ 2 - tiếng Tây Ban Nha A1                                      |   01   |    |     3      |     *     | -6644128056942285934 |
| 61SPA3FL3 | Ngoại ngữ 2 - tiếng Tây Ban Nha 1B1                                     |   01   |    |     3      |     *     | -5841678777646334244 |
| 61SPA3FL4 | Ngoại ngữ 2 - tiếng Tây Ban Nha 2B1                                     |   01   |    |     4      |     *     | -5118823091710790111 |
| 61THA3FL1 | Ngoại ngữ 2- tiếng Thái Lan A1                                          |   01   |    |     3      |     *     | -8103089674536879362 |
| 61THA3FL2 | Ngoại ngữ 2- tiếng Thái Lan A2                                          |   01   |    |     4      |     *     | -7938793480373516034 |
| 62CHI21B2 | Thực hành tiếng 1B2                                                     |   01   |    |     4      |     *     | -7726834521524405457 |
| 62CHI22B1 | Thực hành tiếng 2B1                                                     |   01   |    |     4      |     *     | -5481544301582386233 |
| 62CHI22B2 | Thực hành tiếng 2B2                                                     |   01   |    |     4      |     *     | -6307665305775076726 |
| 62CHI3ALS | Thực hành tiếng nâng cao                                                |   01   |    |     2      |     *     | -7333763036133969871 |
| 62CHI3CCS | Đất nước học Trung Quốc                                                 |   01   |    |     4      |     *     | -9148758035034160226 |
| 62CHI3HCL | Lịch sử Văn học Trung Quốc                                              |   01   |    |     3      |     *     | -7163204836569800586 |
| 62CHI3IP2 | Phiên dịch 2                                                            |   01   |    |     3      |     *     | -7701110851301261380 |
| 62CHI3ITI | Nhập môn Biên-Phiên dịch                                                |   01   |    |     2      |     *     | -5459838481637799868 |
| 62CHI3ITO | Nhập môn Du lịch                                                        |   01   |    |     2      |     *     | -5137723628089826927 |
| 62CHI3LEX | Từ vựng học tiếng Trung Quốc                                            |   01   |    |     3      |     *     | -8759701652428417274 |
| 62CHI3TP2 | Biên dịch 2                                                             |   01   |    |     3      |     *     | -5810887340625866820 |
